antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Gurgaon'}),"frozenset({'4BHK', 'Above_2Cr'})",0.03484320557491289,0.059233449477351915,0.024390243902439025,0.7000000000000001,11.81764705882353,1.0,0.022326360645388437,3.135888501742161,0.9484270242392987,0.35,0.6811111111111112,0.5558823529411765
frozenset({'Mumbai'}),frozenset({'1BHK'}),0.059233449477351915,0.04529616724738676,0.0313588850174216,0.5294117647058824,11.687782805429864,1.0,0.028675836783255835,2.028745644599303,0.9720164609053498,0.4285714285714285,0.5070845856590811,0.6108597285067874
frozenset({'1BHK'}),frozenset({'Mumbai'}),0.04529616724738676,0.059233449477351915,0.0313588850174216,0.6923076923076923,11.687782805429864,1.0,0.028675836783255835,3.057491289198606,0.9578264395782644,0.4285714285714285,0.672934472934473,0.6108597285067874
frozenset({'5BHK'}),"frozenset({'Kakinada', 'Above_2Cr'})",0.03484320557491289,0.05574912891986063,0.020905923344947737,0.6000000000000001,10.762500000000001,1.0,0.01896344498537071,2.360627177700349,0.9398315282791818,0.3,0.5763837638376385,0.48750000000000004
"frozenset({'2BHK', 'Above_2Cr'})",frozenset({'Apartment'}),0.03832752613240418,0.07317073170731707,0.024390243902439025,0.6363636363636365,8.696969696969699,1.0,0.021585790770799695,2.548780487804879,0.9202898550724639,0.27999999999999997,0.6076555023923447,0.4848484848484849
"frozenset({'Land', 'Under_50L'})",frozenset({'Chennai'}),0.03484320557491289,0.06968641114982578,0.020905923344947737,0.6000000000000001,8.610000000000001,1.0,0.018477825395476457,2.325783972125436,0.9157641395908546,0.25,0.5700374531835207,0.45000000000000007
"frozenset({'Land', '0BHK', 'Under_50L'})",frozenset({'Chennai'}),0.03484320557491289,0.06968641114982578,0.020905923344947737,0.6000000000000001,8.610000000000001,1.0,0.018477825395476457,2.325783972125436,0.9157641395908546,0.25,0.5700374531835207,0.45000000000000007
"frozenset({'Above_2Cr', 'Gurgaon'})",frozenset({'4BHK'}),0.03484320557491289,0.08710801393728224,0.024390243902439025,0.7000000000000001,8.036,1.0,0.021355121465599924,3.0429732868757267,0.9071686436307376,0.25,0.6713740458015267,0.49
frozenset({'Gurgaon'}),frozenset({'4BHK'}),0.03484320557491289,0.08710801393728224,0.024390243902439025,0.7000000000000001,8.036,1.0,0.021355121465599924,3.0429732868757267,0.9071686436307376,0.25,0.6713740458015267,0.49
frozenset({'Luxury Villa'}),frozenset({'Kakinada'}),0.020905923344947737,0.1289198606271777,0.020905923344947737,1.0,7.756756756756757,1.0,0.018210734621034615,inf,0.8896797153024912,0.16216216216216217,1.0,0.5810810810810811
